,RVN,Match Code
296,1987-0001-51,"['0000181', '0000272.0.1', '0000377', '0000399.1.0', '0000419', '0000859', '0000861', '0000863']"
297,1981-0005-02,"['0000272', '0000864', '0000865', '0000866']"
298,2003-0002-25,"['0000181', '0000273', '0000377.1.0', '0000399.1.0', '0000419', '0000567', '0000867', '0000868', '0000869']"
299,2003-0001-43,"['0000204', '0000237', '0000253', '0000293', '0000370', '0000682']"
300,1976-0001-01,"['0000104', '0000105', '0000533', '0000892']"
301,2003-0001-31,"['0000192', '0000234', '0000253', '0000293', '0000332', '0000370', '0000517', '0000682']"
302,2003-0002-23,"['0000156', '0000412', '0000413', '0000414', '0000589', '0000682']"
303,2004-0001-01,"['0000075', '0000077', '0000078', '0000079', '0000106', '0000279', '0000470', '0000600']"
304,2007-0002-01,"['0000055', '0000109', '0000129', '0000250', '0000320', '0000351', '0000587', '0000708', '0000730']"
305,1972-0001-01,"['0000538', '0000641', '0000699']"
306,1990-0001-03,"['0000002', '0000448', '0000450', '0000491', '0000495', '0000523', '0000528', '0000629']"
307,1998-0001-01,"['0000430', '0000522', '0000726', '0000728']"
308,2003-0001-22,"['0000204', '0000237', '0000293', '0000370']"
309,2003-0001-25,"['0000190', '0000222', '0000258', '0000284', '0000362', '0000682']"
310,2007-0001-02,"['0000128', '0000140', '0000149', '0000159', '0000161', '0000162', '0000441', '0000540', '0000627', '0000637', '0000690', '0000792', '0000836', '0000844', '0000849']"
311,2007-0001-04,"['0000095', '0000098', '0000141', '0000149', '0000541', '0000627', '0000637', '0000689', '0000792', '0000844', '0000845', '0000849']"
312,2014-0003-01,"['0000023', '0000062', '0000117', '0000263', '0000740', '0000796', '0000801']"
313,2014-0006-02,"['0000037', '0000543', '0000656', '0000736', '0000805', '0000874']"
314,2014-0011-01,"['0000037', '0000131', '0000325', '0000512', '0000736', '0000806', '0000874']"
315,2015-0001-01,"['0000525', '0000759', '0000794']"
316,2021-0001-04,"['0000028', '0000031', '0000552', '0000657', '0000680', '0000736', '0000805']"
317,2021-0002-01,"['0000028', '0000037', '0000043', '0000054', '0000099', '0000543', '0000657', '0000736', '0000805']"
318,2021-0001-07,"['0000028', '0000037', '0000043', '0000543', '0000657', '0000736', '0000802']"
319,2003-0008-02,"['0000204', '0000237', '0000253', '0000293', '0000370', '0000420', '0000682', '0000913', '0000914']
"
320,2014-0005-05,"['0000037', '0000043', '0000512', '0000543', '0000657', '0000874', '0000893', '0000894', '0000895', '0000896', '0000897']
"
321,2003-0008-03,"['0000204', '0000237', '0000253', '0000293', '0000308', '0000341', '0000370', '0000682',  '0000907', '0000908', '0000909', '0000910']"
322,2003-0008-04,"['0000204', '0000246', '0000252', '0000293', '0000306', '0000308', '0000341', '0000911', '0000912']"
323,1997-0001-13,"['0000057', '0000399', '0000897', '0000898', '0000915']"
324,2003-0001-44,"['0000239', '0000241', '0000293', '0000370', '0000395', '0000682', '0000897', '0000899', '0000900', '0000901', '0000902', '0000903', '0000904', '0000905']"
325,2023-0001-01,"['0000037', '0000043', '0000657', '0000736', '0000874', '0000906']"
326,2023-0002-01,"['0000736', '0000926', '0000927', '0000928', '0000929']"
327,1993-0003-04,"['0000121.0', '0000123', '0000124', '0000417', '0000442', '0000508', '0000770']"
328,1993-0001-02,"['0000120.1.0', '0000123', '0000124', '0000417', '0000442', '0000508', '0000770']"
329,1981-0001-08,"['0000137', '0000590']"
